Player,Team,Position,Games,PPR Fantasy Points,PPR Fantasy Points Per Game,Routes Run,Route Participation Percent,Rushing Snap Count,Rushing Snap Percent,Rushing Attempts,Rushing Yards,Rushing Yards Per Carry,Rushing Touchdowns,Rushing Fumbles,Rushing Fumbles Lost,Rushing First Downs,Red Zone Rush Attempts,Goal Line Rush Attempts,Goal Line Rushing Touchdowns,Rushing EPA,Rushing EPA Per Attempt,Rushing DYAR,Rushing DVOA,Rushing Success Rate,Yards Before Contact,Yards After Contact,Avoided Tackles,Avoided Tackle Percent,Win Yards Per Attempt,Explosive Runs,Explosive Run Rate,Explosive Yards,Explosive Touchdowns,Juke Rate,Stacked Box Yards Per Attempt,Second Level Yards Per Attempt,Open Field Yards Per Attempt,Adjusted Line Yards Per Attempt,Stuffed Rate,Power Run Success Rate,Inside Zone Attempts,Inside Zone Percent,Inside Zone Yards Per Attempt,Outside Zone Attempts,Outside Zone Percent,Outside Zone Yards Per Attempt,Power Attempts,Power Percent,Power Yards Per Attempt,Man/Duo Attempts,Man/Duo Percent,Man/Duo Yards Per Attempt,Counter Attempts,Counter Percent,Counter Yards Per Attempt,Stacked Box Attempts,Stacked Box Percent,Stacked Box Run Yards Per Attempt,Designed Run Attempts,Designed Run Percent,Designed Run Yards Per Attempt,Scramble Attempts,Scramble Percent,Scramble Yards Per Attempt,Rushing Attempt Share,Touches,Touch Share,Rushing Opportunities,Rushing Opportunity Share,Team Rushing Attempt Share,Team Rushing Touch Share,Team Rushing Opportunity Share,Rushing Attempts Per Game,Touches Per Game,Receiving Snap Count,Receiving Snap Percent,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Yards Per Target,Yards Per Reception,Catch Percent,Yards After Catch,Yards After Catch Per Reception,Receiving First Downs,Longest Reception,100 Plus Yard Games,Targets Per Game,Receptions Per Game,Receiving Yards Per Game,End Zone Targets,End Zone Touchdowns,Receiving EPA,Receiving EPA Per Target,Receiving DYAR,Receiving DVOA,Routes Run Efficiency,Yards Per Route Run,Explosive Receptions,Explosive Reception Rate,Explosive Receiving Yards,Explosive Receiving Touchdowns,Catchable Targets,Catchable Target Rate,Adjusted Catch Percent,Contested Targets,Contested Target Rate,Contested Receptions,Contested Catch Rate,Created Catches,Drops,Drop Rate,Receiving Success Rate,Forced Missed Tackles,Single-High Coverage Target Percent,Single-High Coverage Yards Per Route Run,Two-High Coverage Target Percent,Two-High Coverage Yards Per Route Run,Zero Coverage Target Percent,Zero Coverage Yards Per Route Run,Man Coverage Target Percent,Man Coverage Yards Per Route Run,Zone Coverage Target Percent,Zone Coverage Yards Per Route Run,Tight Coverage Percent,Step Coverage Rate,Open Target Percent,Wide Open Target Percent,Close Coverage Target Percent,Wide Alignment Routes,Wide Alignment Percent,Wide Alignment Yards Per Route Run,Slot Alignment Routes,Slot Alignment Percent,Slot Alignment Yards Per Route Run,Backfield Alignment Routes,Backfield Alignment Percent,Backfield Alignment Yards Per Route Run,Inline Alignment Routes,Inline Alignment Percent,Inline Alignment Yards Per Route Run,Off-Line Alignment Routes,Off-Line Alignment Percent,Off-Line Alignment Yards Per Route Run,Air Yards,Average Depth of Target,Air Yards Per Game,Air Yards Per Route Run,Receiver Air Conversion Ratio,Weighted Opportunity Rating,Team Air Yards Share,Catchable Air Yards,Catchable Air Yards Rate,Prayer Yards,Prayer Yard Rate,Dropped Air Yards,20 Plus Yard Targets,20 Plus Yard Catches,20 Plus Yard Catch Rate,20 Plus Target Percent,20 Plus Yard Receiving Yards,20 Plus Yard Receiving Touchdowns,Target Share,First Read Targets,First Read Target Rate,First Read Target Share,Receiving Opportunities,Receiving Opportunity Share
Jeremy McNichols,WAS,RB,17.00,72.70,4.28,207.00,40.91,289.00,27.42,44.00,221.00,5.02,1.00,1.00,1.00,13.00,5.00,1.00,0.00,-0.17,-0.00,-9.94,-14.28,40.91,1.14,3.89,13.00,29.54,3.89,5.00,11.36,119.00,1.00,0.00,8.06,1.14,2.70,3.18,15.91,50.00,11.00,25.00,8.27,6.00,13.64,2.50,3.00,6.82,4.33,17.00,38.64,3.29,3.00,6.82,3.33,16.00,36.36,8.06,1.00,2.27,1.00,0.00,0.00,0.00,9.09,69.00,8.95,75.00,7.58,12.09,10.41,8.50,2.93,4.60,289.00,27.42,31.00,25.00,196.00,0.00,,,,,,,,,1.82,1.47,11.53,,,-0.20,-0.01,28.26,2.93,207.00,0.95,1.00,3.23,24.00,0.00,26.00,83.87,96.15,1.00,3.23,0.00,0.00,0.00,1.00,3.85,48.39,4.00,56.52,1.21,37.68,0.69,5.31,0.00,38.16,0.71,61.35,1.10,0.00,9.68,64.52,9.68,16.13,5.00,2.42,0.00,37.00,17.87,1.30,164.00,79.23,0.85,0.00,0.00,0.00,1.00,0.48,9.00,-23.00,-0.74,-1.35,-0.11,-8.52,0.09,-0.57,-22.00,95.65,-1.00,4.35,4.00,0.00,0.00,0.00,0.00,0.00,0.00,6.13,5.00,16.13,0.88,75.00,7.58
Jeremy Ruckert,NYJ,TE,17.00,45.80,2.69,214.00,38.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.00,43.86,29.00,23.00,168.00,1.00,5.79,7.30,79.31,88.00,3.83,8.00,24.00,0.00,1.71,1.35,9.88,2.00,1.00,4.55,0.16,-15.67,-15.62,214.00,0.78,1.00,3.45,24.00,0.00,26.00,89.66,88.46,6.00,20.69,4.00,66.67,0.00,2.00,7.69,44.83,1.00,55.61,1.01,40.65,0.55,3.74,0.00,22.90,0.39,77.10,0.90,13.79,3.45,41.38,10.34,27.59,25.00,11.68,0.64,34.00,15.89,0.76,4.00,1.87,2.50,65.00,30.37,0.55,86.00,40.19,0.93,102.00,3.52,6.00,0.48,1.65,0.10,3.00,94.00,92.16,8.00,7.84,9.00,0.00,0.00,0.00,0.00,0.00,0.00,5.24,14.00,48.28,2.29,29.00,2.87
Jerome Ford,CLV,RB,13.00,43.60,3.35,211.00,34.65,248.00,23.35,24.00,73.00,3.04,0.00,0.00,0.00,5.00,4.00,3.00,0.00,-3.02,-0.13,0.80,-7.81,33.33,1.25,1.79,3.00,12.50,2.00,2.00,8.33,22.00,0.00,4.17,2.33,1.04,0.92,3.40,16.67,75.00,5.00,20.83,0.80,2.00,8.33,1.50,2.00,8.33,0.50,11.00,45.83,4.00,2.00,8.33,7.50,9.00,37.50,2.33,0.00,0.00,0.00,0.00,0.00,0.00,5.70,50.00,6.72,56.00,5.44,6.22,7.05,5.63,2.67,5.56,248.00,23.35,32.00,26.00,103.00,0.00,,,,,,,,,2.46,2.00,7.92,,,-5.59,-0.18,-46.19,-42.15,211.00,0.49,0.00,0.00,0.00,0.00,30.00,93.75,86.67,3.00,9.38,2.00,66.67,0.00,4.00,13.33,25.00,3.00,51.66,0.46,46.44,0.54,1.90,0.00,39.81,0.24,60.19,0.65,3.12,21.88,40.62,21.88,12.50,8.00,3.79,0.00,0.00,0.00,0.00,187.00,88.63,0.55,0.00,0.00,0.00,16.00,7.58,0.00,-49.00,-1.53,-3.77,-0.23,-2.10,0.07,-1.30,-47.00,95.92,-2.00,4.08,4.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,3.00,9.38,0.47,56.00,5.44
Jerry Jeudy,CLV,WR,17.00,122.20,7.19,557.00,91.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878.00,82.67,106.00,50.00,602.00,2.00,5.68,12.04,47.17,166.00,3.32,32.00,60.00,0.00,6.24,2.94,35.41,7.00,1.00,-32.31,-0.30,-164.39,-33.48,557.00,1.08,6.00,5.66,205.00,2.00,61.00,57.55,81.97,19.00,17.92,4.00,21.05,2.00,7.00,11.48,35.85,2.00,52.06,1.29,45.60,0.87,2.33,0.62,35.37,1.08,64.63,1.08,38.68,9.43,37.74,0.94,12.26,454.00,81.51,1.07,101.00,18.13,1.17,1.00,0.18,0.00,0.00,0.00,0.00,1.00,0.18,0.00,1288.00,12.15,75.76,2.31,0.47,0.50,34.03,591.00,45.88,697.00,54.12,88.00,18.00,5.00,27.78,16.98,145.00,1.00,17.41,86.00,81.13,13.42,107.00,10.39
John Bates,WAS,TE,15.00,27.30,1.82,175.00,34.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.00,43.64,16.00,11.00,103.00,1.00,6.44,9.36,68.75,68.00,6.18,6.00,22.00,0.00,1.07,0.73,6.87,1.00,1.00,7.81,0.49,4.25,-3.69,175.00,0.59,1.00,6.25,22.00,0.00,12.00,75.00,91.67,1.00,6.25,0.00,0.00,0.00,0.00,0.00,62.50,0.00,60.00,0.78,34.29,0.32,4.57,0.25,33.14,0.28,65.71,0.76,12.50,0.00,62.50,25.00,0.00,7.00,4.00,0.00,24.00,13.71,0.42,3.00,1.71,0.00,59.00,33.71,1.24,82.00,46.86,0.24,48.00,3.00,3.20,0.27,2.15,0.06,1.20,45.00,93.75,3.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.16,9.00,56.25,1.58,16.00,1.62
John FitzPatrick,GB,TE,15.00,25.20,1.68,137.00,26.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.00,29.66,15.00,12.00,72.00,1.00,,,,,,,,,1.00,0.80,4.80,,,3.76,0.25,-1.65,-8.91,137.00,0.53,0.00,0.00,0.00,0.00,13.00,86.67,92.31,1.00,6.67,1.00,100.00,0.00,1.00,7.69,53.33,2.00,56.20,0.52,37.23,0.57,6.57,0.33,32.12,0.50,67.88,0.54,6.67,13.33,46.67,26.67,6.67,9.00,6.57,0.67,17.00,12.41,0.00,9.00,6.57,1.00,39.00,28.47,0.31,63.00,45.98,0.71,24.00,1.60,1.60,0.18,3.00,0.05,0.56,18.00,75.00,6.00,25.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,2.90,4.00,26.67,0.72,15.00,1.48
John Metchie III,NYJ,WR,15.00,71.90,4.79,234.00,42.24,430.00,40.30,3.00,-5.00,-1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.03,-1.01,-15.46,-142.59,0.00,-1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,66.67,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,36.00,4.78,51.00,5.05,0.87,5.60,5.68,1.00,12.00,430.00,40.30,48.00,33.00,274.00,2.00,5.71,8.30,68.75,140.00,4.24,15.00,22.00,0.00,3.20,2.20,18.27,1.00,0.00,-2.34,-0.05,-40.85,-23.58,234.00,1.17,1.00,2.08,22.00,1.00,38.00,79.17,86.84,5.00,10.42,1.00,20.00,1.00,4.00,10.53,43.75,1.00,51.28,1.28,44.87,0.64,3.85,5.89,24.79,2.38,75.21,0.77,25.00,8.33,35.42,16.67,14.58,144.00,61.54,0.96,84.00,35.90,1.51,2.00,0.86,3.50,0.00,0.00,0.00,4.00,1.71,0.50,268.00,5.58,17.87,1.14,1.02,0.18,7.87,161.00,60.08,107.00,39.92,22.00,0.00,0.00,0.00,0.00,0.00,0.00,8.66,29.00,60.42,4.75,51.00,5.05
Johnny Mundt,JAX,TE,16.00,20.10,1.26,154.00,25.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.00,30.28,19.00,9.00,111.00,0.00,,,,,,,,,1.19,0.56,6.94,,,3.98,0.21,-23.54,-25.53,154.00,0.72,1.00,5.26,21.00,0.00,12.00,63.16,75.00,2.00,10.53,0.00,0.00,0.00,3.00,25.00,47.37,2.00,53.25,0.49,42.86,1.08,3.90,0.00,20.78,0.00,79.22,0.91,21.05,21.05,26.32,26.32,5.26,12.00,7.79,0.75,18.00,11.69,0.00,9.00,5.84,0.00,49.00,31.82,0.51,66.00,42.86,1.17,100.00,5.26,6.25,0.65,1.11,0.06,2.05,57.00,57.00,43.00,43.00,22.00,1.00,0.00,0.00,5.26,0.00,0.00,3.15,8.00,42.10,1.24,19.00,1.74
Jonathan Taylor,IND,RB,17.00,362.30,21.31,472.00,81.94,841.00,80.63,323.00,1585.00,4.91,18.00,1.00,1.00,84.00,70.00,23.00,7.00,12.88,0.04,338.77,14.98,44.27,2.16,2.75,104.00,32.20,3.14,36.00,11.15,755.00,6.00,4.33,4.55,1.25,2.34,4.22,15.17,71.43,95.00,29.41,4.46,64.00,19.81,5.23,64.00,19.81,3.72,74.00,22.91,6.36,12.00,3.72,3.42,112.00,34.67,4.55,0.00,0.00,0.00,0.00,0.00,0.00,73.08,369.00,46.01,378.00,37.13,83.90,46.01,37.13,19.00,21.71,841.00,80.63,55.00,46.00,378.00,2.00,6.87,8.22,83.64,434.00,9.44,15.00,43.00,0.00,3.24,2.71,22.24,0.00,0.00,10.18,0.18,86.80,14.21,472.00,0.80,3.00,5.46,100.00,0.00,52.00,94.54,88.46,5.00,9.09,3.00,60.00,0.00,3.00,5.77,45.46,7.00,49.79,0.66,46.19,0.94,3.81,0.00,30.72,0.58,69.07,0.84,9.09,1.82,43.64,29.09,16.36,23.00,4.87,1.00,18.00,3.81,2.83,431.00,91.31,0.70,0.00,0.00,0.00,0.00,0.00,0.00,-45.00,-0.82,-2.65,-0.10,-8.40,0.14,-1.03,-36.00,80.00,-9.00,20.00,-1.00,1.00,0.00,0.00,1.82,0.00,0.00,9.55,9.00,16.36,1.50,378.00,37.13
Jonnu Smith,PIT,TE,17.00,85.20,5.01,311.00,53.53,499.00,49.85,9.00,70.00,7.78,1.00,0.00,0.00,3.00,2.00,0.00,0.00,3.85,0.43,51.71,67.17,55.56,4.11,3.67,2.00,22.22,3.67,3.00,33.33,44.00,1.00,0.00,8.71,2.78,4.89,0.00,0.00,0.00,0.00,0.00,0.00,3.00,33.33,5.67,0.00,0.00,0.00,1.00,11.11,14.00,0.00,0.00,0.00,7.00,77.78,8.71,0.00,0.00,0.00,0.00,0.00,0.00,2.21,47.00,6.09,63.00,6.38,2.38,6.09,6.38,1.50,7.83,499.00,49.85,54.00,38.00,222.00,2.00,4.11,5.84,70.37,179.00,4.71,10.00,21.00,0.00,3.18,2.24,13.06,2.00,1.00,1.49,0.03,-116.02,-41.05,311.00,0.71,1.00,1.85,21.00,0.00,40.00,74.07,95.00,7.00,12.96,2.00,28.57,0.00,1.00,2.50,46.30,5.00,44.05,0.46,52.41,0.94,3.22,0.20,28.30,0.40,71.38,0.83,14.82,7.41,53.70,7.41,16.67,45.00,14.47,0.64,126.00,40.51,0.76,15.00,4.82,0.00,21.00,6.75,0.00,104.00,33.44,0.93,234.00,4.33,13.76,0.75,0.95,0.19,7.13,63.00,26.92,171.00,73.08,16.00,3.00,0.00,0.00,5.56,0.00,0.00,9.29,23.00,42.59,3.87,63.00,6.38
Jordan Addison,MIN,WR,14.00,121.00,8.64,420.00,77.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.00,68.74,79.00,42.00,610.00,3.00,7.72,14.52,53.16,139.00,3.31,26.00,81.00,2.00,5.64,3.00,43.57,11.00,3.00,13.99,0.18,23.00,-9.02,420.00,1.45,11.00,13.92,358.00,0.00,52.00,65.82,80.77,18.00,22.78,6.00,33.33,4.00,5.00,9.62,48.10,3.00,45.48,1.58,52.62,1.38,1.90,0.50,24.76,0.82,75.24,1.66,25.32,7.60,44.30,7.60,12.66,321.00,76.43,1.72,85.00,20.24,0.64,10.00,2.38,0.40,0.00,0.00,0.00,4.00,0.95,0.00,1083.00,13.71,77.36,2.58,0.56,0.42,28.83,617.00,56.97,466.00,43.03,59.00,22.00,6.00,27.27,27.85,245.00,0.00,14.52,60.00,75.95,10.49,81.00,8.49
Jordan Mason,MIN,RB,16.00,130.90,8.18,211.00,38.79,392.00,39.92,159.00,758.00,4.77,6.00,2.00,1.00,45.00,29.00,7.00,1.00,-8.16,-0.05,104.98,6.41,46.54,2.11,2.65,42.00,26.42,2.99,22.00,13.84,343.00,1.00,3.77,4.63,1.33,2.16,4.65,17.61,56.25,33.00,20.76,4.82,47.00,29.56,4.55,5.00,3.14,5.20,62.00,38.99,4.82,4.00,2.52,5.25,57.00,35.85,4.63,1.00,0.63,1.00,0.00,0.00,0.00,38.78,173.00,24.44,175.00,18.34,44.79,24.44,18.34,9.94,10.81,392.00,39.92,16.00,14.00,51.00,0.00,3.19,3.64,87.50,102.00,7.29,1.00,13.00,0.00,1.00,0.88,3.19,0.00,0.00,-4.61,-0.29,-40.75,-64.14,211.00,0.24,0.00,0.00,0.00,0.00,15.00,93.75,93.33,0.00,0.00,0.00,0.00,0.00,1.00,6.67,31.25,1.00,54.50,0.25,42.18,0.25,3.32,0.00,36.97,-0.04,63.03,0.41,0.00,6.25,56.25,18.75,18.75,5.00,2.37,0.00,3.00,1.42,0.00,191.00,90.52,0.24,0.00,0.00,0.00,12.00,5.69,0.50,-52.00,-3.25,-3.25,-0.25,-0.98,0.03,-1.38,-53.00,101.92,1.00,-1.92,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,2.00,12.50,0.35,175.00,18.34
Jordan Whittington,LA,WR,16.00,36.30,2.27,223.00,35.97,407.00,37.27,3.00,12.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.24,0.08,8.19,19.42,66.67,2.67,1.33,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,33.33,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,21.00,2.46,28.00,2.58,0.70,2.46,2.58,1.50,10.50,407.00,37.27,25.00,18.00,171.00,0.00,6.84,9.50,72.00,88.00,4.89,7.00,40.00,0.00,1.56,1.12,10.69,0.00,0.00,2.56,0.10,-2.13,-13.77,223.00,0.77,2.00,8.00,62.00,0.00,21.00,84.00,85.71,2.00,8.00,1.00,50.00,0.00,2.00,9.52,52.00,1.00,56.05,0.82,36.77,0.84,7.18,0.00,36.32,0.25,63.68,1.06,12.00,8.00,40.00,0.00,36.00,84.00,37.67,0.62,127.00,56.95,0.84,11.00,4.93,1.09,0.00,0.00,0.00,1.00,0.45,0.00,171.00,6.84,10.69,0.77,1.00,0.08,3.15,133.00,77.78,38.00,22.22,15.00,3.00,1.00,33.33,12.00,40.00,0.00,4.03,16.00,64.00,2.55,28.00,2.58
Josh Downs,IND,WR,16.00,136.70,8.54,367.00,63.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.00,53.88,88.00,58.00,547.00,4.00,6.22,9.43,65.91,137.00,2.36,37.00,34.00,0.00,5.50,3.62,34.19,3.00,2.00,8.66,0.10,79.01,-1.18,367.00,1.49,4.00,4.54,116.00,0.00,63.00,71.59,92.06,14.00,15.91,7.00,50.00,2.00,4.00,6.35,50.00,6.00,49.59,1.52,46.32,1.46,3.82,1.36,31.61,1.59,68.12,1.44,25.00,12.50,39.77,0.00,20.45,78.00,21.25,0.90,280.00,76.29,1.66,8.00,2.18,0.00,0.00,0.00,0.00,1.00,0.27,12.00,659.00,7.49,41.19,1.80,0.83,0.33,15.05,448.00,67.98,211.00,32.02,23.00,8.00,3.00,37.50,9.09,93.00,0.00,15.28,72.00,81.82,11.98,90.00,8.84
Josh Jacobs,GB,RB,15.00,241.10,16.07,250.00,48.26,529.00,50.62,234.00,929.00,3.97,13.00,3.00,2.00,55.00,52.00,20.00,5.00,-19.81,-0.08,28.00,-5.91,43.59,1.34,2.63,58.00,24.79,2.90,23.00,9.83,354.00,3.00,2.56,3.54,1.16,1.51,3.97,17.95,51.61,69.00,29.49,3.38,60.00,25.64,2.82,21.00,8.97,5.10,67.00,28.63,5.54,8.00,3.42,3.50,85.00,36.33,3.54,1.00,0.43,0.00,0.00,0.00,0.00,47.56,270.00,32.93,278.00,27.52,55.98,32.93,27.52,15.60,18.00,529.00,50.62,44.00,36.00,282.00,1.00,6.41,7.83,81.82,304.00,8.44,8.00,31.00,0.00,2.93,2.40,18.80,1.00,1.00,11.85,0.27,73.04,17.51,250.00,1.13,4.00,9.09,113.00,0.00,35.00,79.54,102.86,1.00,2.27,1.00,100.00,1.00,0.00,0.00,50.00,9.00,49.60,0.80,46.40,1.53,4.00,0.50,30.40,0.20,69.60,1.53,6.82,4.54,43.18,15.91,25.00,12.00,4.80,3.33,3.00,1.20,15.00,222.00,88.80,0.84,0.00,0.00,0.00,13.00,5.20,0.77,-39.00,-0.89,-2.60,-0.16,-7.23,0.12,-0.91,-27.00,69.23,-12.00,30.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.49,3.00,6.82,0.54,278.00,27.52
Josh Oliver,MIN,TE,15.00,55.00,3.67,152.00,27.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.00,38.29,19.00,15.00,160.00,4.00,8.42,10.67,78.95,102.00,6.80,9.00,32.00,0.00,1.27,1.00,10.67,0.00,0.00,11.48,0.60,44.58,24.20,152.00,1.05,2.00,10.53,54.00,1.00,16.00,84.21,93.75,2.00,10.53,1.00,50.00,0.00,0.00,0.00,63.16,0.00,53.95,0.93,40.79,0.84,5.26,4.00,30.92,1.00,69.08,1.08,5.26,0.00,52.63,31.58,10.53,5.00,3.29,0.00,20.00,13.16,1.35,1.00,0.66,0.00,75.00,49.34,1.44,51.00,33.55,0.49,64.00,3.37,4.27,0.42,2.50,0.06,1.70,55.00,85.94,9.00,14.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.49,11.00,57.90,1.92,19.00,1.99
Josh Palmer,BUF,WR,12.00,55.60,4.63,211.00,39.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.00,32.42,37.00,22.00,336.00,0.00,,,,,,,,,3.08,1.83,28.00,,,6.74,0.18,-12.10,-16.89,211.00,1.59,5.00,13.51,176.00,0.00,24.00,64.86,91.67,5.00,13.51,1.00,20.00,2.00,0.00,0.00,43.24,0.00,60.66,1.48,34.12,2.01,4.74,0.10,47.39,1.49,52.13,1.70,27.03,21.62,32.43,0.00,16.22,165.00,78.20,1.72,43.00,20.38,1.16,2.00,0.95,1.50,0.00,0.00,0.00,1.00,0.47,0.00,424.00,11.46,35.33,2.01,0.79,0.19,11.73,261.00,61.56,163.00,38.44,0.00,5.00,3.00,60.00,13.51,100.00,0.00,6.92,29.00,78.38,4.96,37.00,3.42
Josh Reynolds,NYJ,WR,5.00,21.10,4.22,145.00,26.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.00,24.18,21.00,11.00,101.00,0.00,,,,,,,,,4.20,2.20,20.20,,,-3.48,-0.17,-44.33,-39.82,145.00,0.70,0.00,0.00,0.00,0.00,13.00,61.90,84.62,8.00,38.10,2.00,25.00,0.00,0.00,0.00,42.86,1.00,46.21,1.13,48.97,0.35,4.83,0.00,26.21,0.60,73.79,0.73,42.86,0.00,23.81,4.76,28.57,114.00,78.62,0.72,31.00,21.38,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,276.00,13.14,55.20,1.90,0.37,0.11,8.11,107.00,38.77,169.00,61.23,0.00,4.00,0.00,0.00,19.05,0.00,0.00,3.79,14.00,66.67,2.29,21.00,2.08
JuJu Smith-Schuster,KC,WR,17.00,73.50,4.32,350.00,55.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.00,52.46,45.00,33.00,345.00,1.00,7.67,10.46,73.33,191.00,5.79,20.00,30.00,0.00,2.65,1.94,20.29,4.00,1.00,2.62,0.06,58.82,4.50,350.00,0.99,3.00,6.67,81.00,0.00,34.00,75.56,97.06,2.00,4.44,0.00,0.00,0.00,0.00,0.00,64.44,5.00,50.86,1.06,45.14,0.94,4.00,0.57,38.00,0.43,62.00,1.33,22.22,24.44,42.22,6.67,4.44,186.00,53.14,0.83,160.00,45.71,1.19,1.00,0.29,0.00,1.00,0.29,0.00,2.00,0.57,0.00,244.00,5.42,14.35,0.70,1.41,0.14,5.38,156.00,63.93,88.00,36.07,0.00,1.00,0.00,0.00,2.22,0.00,0.00,7.13,24.00,53.33,3.48,45.00,4.24
Julian Hill,MIA,TE,14.00,29.00,2.07,184.00,35.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.00,43.78,20.00,15.00,140.00,0.00,7.00,9.33,75.00,111.00,7.40,6.00,20.00,0.00,1.43,1.07,10.00,1.00,0.00,0.14,0.01,-21.24,-23.81,184.00,0.76,1.00,5.00,20.00,0.00,16.00,80.00,93.75,0.00,0.00,0.00,0.00,0.00,1.00,6.25,50.00,2.00,47.83,1.09,48.37,0.49,3.26,0.00,16.30,0.63,83.15,0.79,10.00,0.00,75.00,5.00,10.00,9.00,4.89,0.00,26.00,14.13,0.00,18.00,9.78,0.22,50.00,27.17,0.76,81.00,44.02,1.21,66.00,3.30,4.71,0.36,2.12,0.07,1.96,37.00,56.06,29.00,43.94,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.87,7.00,35.00,1.32,20.00,2.11
Justice Hill,BLT,RB,10.00,65.20,6.52,149.00,31.91,200.00,19.78,18.00,93.00,5.17,2.00,1.00,0.00,4.00,3.00,1.00,1.00,-2.12,-0.12,-8.18,-19.37,27.78,0.67,4.50,4.00,22.22,4.50,1.00,5.56,71.00,1.00,0.00,2.14,1.00,3.94,2.29,22.22,66.67,2.00,11.11,3.50,6.00,33.33,12.50,1.00,5.56,-15.00,7.00,38.89,3.00,1.00,5.56,2.00,7.00,38.89,2.14,0.00,0.00,0.00,0.00,0.00,0.00,3.55,39.00,4.97,45.00,4.62,4.37,5.62,5.10,2.25,4.88,200.00,19.78,27.00,21.00,169.00,1.00,,,,,,,,,2.70,2.10,16.90,,,0.42,0.02,30.53,11.10,149.00,1.13,1.00,3.70,37.00,0.00,23.00,85.18,91.30,1.00,3.70,1.00,100.00,0.00,1.00,4.35,40.74,6.00,43.62,0.63,51.68,1.66,4.70,0.00,36.24,0.32,63.76,1.60,7.41,3.70,70.37,11.11,7.41,7.00,4.70,0.00,8.00,5.37,1.25,133.00,89.26,1.20,0.00,0.00,0.00,1.00,0.67,0.00,-6.00,-0.22,-0.60,-0.04,-28.17,0.08,-0.18,-15.00,250.00,9.00,-150.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,5.78,5.00,18.52,0.99,45.00,4.62
