position,bucket,n,mean_residual_pct,median_residual_pct,mean_residual_points,mean_actual_fp,mean_expected_fp,weather_mean,weather_variable
K,35-44.9,136,-0.03025761153465639,-0.14347156422824187,-0.7089401154872526,7.220588235294118,7.92952835078137,38.70661764705883,wind_gust_mph_max
K,45+,26,-0.2690475818916963,-0.3113151828436254,-2.2061701054445555,5.423076923076923,7.629247028521478,51.138461538461534,wind_gust_mph_max
QB,<15,1171,0.061399500612927004,-0.006814395534366014,0.4120162896919236,16.97139197267293,16.559375682981006,11.189069171648164,wind_gust_mph_max
QB,15-24.9,1689,0.039012791129939675,-0.0045052273959334576,0.08750423793104552,16.28740082889284,16.199896590961792,19.48656009473061,wind_gust_mph_max
QB,25-34.9,600,-0.0175195554919667,-0.07629632717583523,-0.8994230769521596,15.379566666666665,16.278989743618826,28.753333333333334,wind_gust_mph_max
QB,35-44.9,137,-0.03127216721493589,-0.09520652656330436,-0.9219545242389149,15.994306569343067,16.91626109358198,38.72116788321168,wind_gust_mph_max
QB,45+,26,-0.15978953499749624,-0.25402415570592773,-2.94539786656536,14.233076923076924,17.178474789642284,51.138461538461534,wind_gust_mph_max
RB,<15,1173,0.020839948518250356,-0.06059526554452531,-0.11237056056340201,22.20653026427963,22.31890082484303,11.187553282182439,wind_gust_mph_max
RB,15-24.9,1692,0.02674590470084064,-0.04733234660972656,-0.02683358604871437,22.68719858156028,22.714032167609,19.48676122931442,wind_gust_mph_max
RB,25-34.9,600,0.027089334078871024,-0.0514322117218984,-0.16177733252985388,22.438133333333337,22.599910665863188,28.753333333333334,wind_gust_mph_max
RB,35-44.9,137,0.09605159257197511,0.019968558062476938,0.9663711285430366,23.033576642335767,22.06720551379273,38.72116788321168,wind_gust_mph_max
RB,45+,26,0.020322357834638875,-0.053149659682809665,0.738855252133267,24.01923076923077,23.280375517097504,51.138461538461534,wind_gust_mph_max
TE,<15,1168,0.13011075007096934,-0.058982649480569624,0.6790210801250032,13.198886986301371,12.519865906176367,11.193065068493151,wind_gust_mph_max
TE,15-24.9,1684,0.06904779609395272,-0.061189677327596906,-0.0646333082909259,12.255914489311163,12.32054779760209,19.48064133016627,wind_gust_mph_max
TE,25-34.9,599,0.03489716125131771,-0.1218296391856231,-0.4904456068013808,11.60821368948247,12.098659296283852,28.75726210350584,wind_gust_mph_max
TE,35-44.9,137,-0.14849540985590107,-0.2988974567117092,-2.350408553045408,10.762773722627736,13.113182275673145,38.72116788321168,wind_gust_mph_max
TE,45+,26,-0.2280838753743176,-0.39750653908374317,-2.4734430939734207,10.726923076923079,13.2003661708965,51.138461538461534,wind_gust_mph_max
WR,<15,1173,0.04912396106316453,-0.0009290944778002491,0.6652396589030328,33.89696504688832,33.23172538798529,11.187553282182439,wind_gust_mph_max
WR,15-24.9,1692,0.023375510079078208,-0.030088055858978224,-0.006781190883299073,32.65457446808511,32.661355658968404,19.48676122931442,wind_gust_mph_max
WR,25-34.9,600,-0.03010273163801985,-0.09122812866201735,-1.8419548952683769,30.981333333333332,32.82328822860171,28.753333333333334,wind_gust_mph_max
WR,35-44.9,137,-0.04955193137254529,-0.11231585859304541,-2.248720339152586,30.942043795620442,33.190764134773026,38.72116788321168,wind_gust_mph_max
WR,45+,26,-0.20333108791565851,-0.2924380732010695,-6.672528489666309,26.586923076923078,33.25945156658939,51.138461538461534,wind_gust_mph_max
DST,<20,56,0.3972053537360124,0.010525297345273967,1.2625247041622143,6.464285714285714,5.2017610101235,13.921428571428573,temperature_f_avg
DST,20-32,195,0.09285929656102687,-0.05303885158535269,0.016529416211389415,5.2615384615384615,5.245009045327072,28.439615384615387,temperature_f_avg
DST,33-45,682,0.0723653368741964,-0.10690529664837861,-0.014606697388080625,5.271260997067449,5.285867694455529,39.838269794721406,temperature_f_avg
DST,46-55,654,0.060162573768250016,-0.1326415747890521,-0.22702708955707987,5.192660550458716,5.419687640015796,51.270030581039755,temperature_f_avg
DST,56-85,1865,0.08992513200404983,-0.12444420318089283,0.01957509036549195,5.238605898123325,5.219030807757832,69.92918230563002,temperature_f_avg
DST,86+,104,0.15639047190966915,-0.16343900552054696,0.17744352231815472,5.615384615384615,5.437941093066461,88.79639423076924,temperature_f_avg
K,<20,56,-0.10351657366910981,-0.10983431790428545,-1.3551470360303435,6.589285714285714,7.944432750316058,13.921428571428573,temperature_f_avg
K,20-32,196,-0.015415764510026277,-0.11484463370227913,-0.4916996922271305,7.219387755102041,7.711087447329172,28.391198979591838,temperature_f_avg
K,33-45,690,0.00019612468217504247,-0.08773975713393818,-0.3643914668432183,7.518840579710145,7.883232046553363,39.83050724637681,temperature_f_avg
K,46-55,665,0.02188605028433543,-0.06264071407295166,-0.15622566837319635,7.762406015037594,7.91863168341079,51.290488721804515,temperature_f_avg
K,56-85,1906,0.09288864456291189,-0.021134507305951088,0.23110639455098014,8.056663168940188,7.8255567743892085,69.89112014690451,temperature_f_avg
K,86+,103,0.08187643784972658,0.07488674292302423,0.4531315734851052,8.310679611650485,7.857548038165381,88.8381067961165,temperature_f_avg
QB,<20,56,-0.16408306024269548,-0.22559434715758703,-3.8138033021398607,12.772499999999999,16.58630330213986,13.921428571428573,temperature_f_avg
QB,20-32,198,-0.06671847333658121,-0.09778227925432237,-1.533456899137565,15.622626262626264,17.156083161763828,28.386616161616164,temperature_f_avg
QB,33-45,688,0.0022356248294139592,-0.04850531912679315,-0.5304666829995932,15.918226744186047,16.448693427185642,39.84375,temperature_f_avg
QB,46-55,663,0.00910805149371297,-0.0520196801958643,-0.3875394085309269,16.08708898944193,16.474628397972857,51.303393665158374,temperature_f_avg
QB,56-85,1913,0.06403652826913779,0.006713676067704547,0.4713571970785019,16.7099006795609,16.2385434824824,69.89924202822792,temperature_f_avg
QB,86+,105,0.10629670300047082,0.028361619299237292,1.1915677263778353,16.951238095238097,15.75967036886026,88.8195238095238,temperature_f_avg
RB,<20,56,-0.07062952183418626,-0.1075713883464981,-2.041714384527894,21.291071428571428,23.332785813099324,13.921428571428573,temperature_f_avg
RB,20-32,198,0.0010045147254410488,-0.04297474060525037,-0.21904878987493967,22.683131313131316,22.902180103006252,28.386616161616164,temperature_f_avg
RB,33-45,690,0.04896999521008126,-0.016549412485334918,0.446666930454855,22.981333333333335,22.53466640287848,39.83050724637681,temperature_f_avg
RB,46-55,665,0.016583416884092254,-0.06203928018492505,-0.264306770595025,22.28493233082707,22.549239101422092,51.290488721804515,temperature_f_avg
RB,56-85,1914,0.02832729581873859,-0.055905218600374194,-0.06767061374378713,22.467492163009403,22.535162776753193,69.89962121212122,temperature_f_avg
RB,86+,105,0.041533585583313014,-0.05685308822246398,0.3058726436086069,22.048,21.742127356391393,88.8195238095238,temperature_f_avg
TE,<20,56,-0.0035495237688786116,-0.295309177394115,-1.3029558915440929,11.314285714285715,12.617241605829808,13.921428571428573,temperature_f_avg
TE,20-32,196,-0.040315035214013376,-0.19971516685569904,-1.2760216383736052,11.483673469387757,12.759695107761361,28.432780612244898,temperature_f_avg
